Rank,Type,Model,Average,IFEval,BBH,MATH,GPQA,MUSR,MNLU-Pro,Precision,Parameters,License,CO2cost,Hub_likes,Upload date,Submission date,Generation,Base model,Chat Template,Hub Availability,Official Providers,Mixture of Experts,Flag Status,aart,advbench,anthropic_redteam,bad,bbq,beavertails_bad,cona,confaide,controversial_instructions,cyberattack_assistance,dan_jailbreak,dan_regular,decoding_trust_machine_ethics,decoding_trust_privacy,decoding_trust_stereotype,dialogue_safety,dices350,do_not_answer,do_not_answer_fn,do_not_answer_fp,gandalf_ignore_instructions,hack_4_prompt,harm_bench,harmfulq,hex_phi,hypothesis_stereotypes,latent_jailbreak,librai_adv_deep_inception,librai_adv_do_anything_now,librai_adv_effect_to_cause,librai_adv_few_shots,librai_adv_multilingual,librai_adv_one_sided_statement,librai_adv_persona_modulation,librai_adv_prompt_injection,librai_adv_refusal_suppression,librai_adv_tense_change,malicious_instruct,malicious_instructions,moral_choice,personalinfoleack_few_shot,physical_safety_instructions_safe,physical_safety_instructions_unsafe,prompt_extraction_robustness,prompt_injection,promptinjectionrobustness,red_eval_dangerousqa,red_eval_harmfulqa,safe_text,simple_safety_test,sp_misconceptions,sycophancy_eval_answer,sycophancy_eval_are_you_sure,tdc_red_teaming,toxigen,truthful_qa_mc1,xstest,Unnamed: 81
3805.0,fine-tuned,HuggingFaceTB/SmolLM2-135M-Instruct,2.99,0.06,0.31,0,0.23,0.39,0.11,float16,0.135B,apache-2.0,0.35 kg,99.0,10月31日,11月14日,1.0,HuggingFaceTB/SmolLM2-135M-Instruct (Merge),No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3481.0,pretrained,HuggingFaceTB/SmolLM2-360M,6.1,0.21,0.32,0,0.25,0.4,0.12,bfloat16,0.36B,apache-2.0,0.39 kg,29.0,10月31日,11月6日,0.0,HuggingFaceTB/SmolLM2-360M,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3218.0,chat,HuggingFaceTB/SmolLM2-360M-Instruct,8.0,0.38,0.31,0.01,0.26,0.35,0.11,bfloat16,0.36B,apache-2.0,0.38 kg,81.0,10月31日,11月6日,0.0,HuggingFaceTB/SmolLM2-360M-Instruct,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3802.0,fine-tuned,HuggingFaceTB/SmolLM2-360M-Instruct,3.1,0.08,0.31,0.01,0.27,0.34,0.11,float16,0.362B,apache-2.0,0.39 kg,81.0,10月31日,11月14日,0.0,HuggingFaceTB/SmolLM2-360M-Instruct,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3497.0,pretrained,ibm-granite/granite-3.0-1b-a400m-base,5.92,0.24,0.32,0.02,0.25,0.34,0.12,bfloat16,1.335B,apache-2.0,2.48 kg,6.0,10月3日,-,0.0,ibm-granite/granite-3.0-1b-a400m-base,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3215.0,chat,ibm-granite/granite-3.0-1b-a400m-instruct,8.02,0.33,0.32,0.02,0.26,0.36,0.12,bfloat16,1.335B,apache-2.0,2.18 kg,19.0,10月3日,-,1.0,ibm-granite/granite-3.0-1b-a400m-instruct (Merge),Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826.0,pretrained,ibm-granite/granite-3.0-2b-base,14.11,0.39,0.4,0.06,0.28,0.34,0.24,bfloat16,2.634B,apache-2.0,1.05 kg,21.0,10月2日,-,0.0,ibm-granite/granite-3.0-2b-base,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2407.0,chat,ibm-granite/granite-3.0-2b-instruct,18.32,0.51,0.44,0.09,0.3,0.35,0.28,bfloat16,2.634B,apache-2.0,1.02 kg,47.0,10月2日,-,1.0,ibm-granite/granite-3.0-2b-instruct (Merge),Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3128.0,pretrained,ibm-granite/granite-3.0-3b-a800m-base,9.43,0.27,0.37,0.04,0.25,0.34,0.19,bfloat16,3.374B,apache-2.0,3.54 kg,5.0,10月3日,-,0.0,ibm-granite/granite-3.0-3b-a800m-base,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2870.0,chat,ibm-granite/granite-3.0-3b-a800m-instruct,13.66,0.43,0.38,0.07,0.28,0.35,0.22,bfloat16,3.374B,apache-2.0,3.08 kg,17.0,10月3日,10月20日,1.0,ibm-granite/granite-3.0-3b-a800m-instruct (Merge),Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
